Jersey,Player,Yr,Pos,GP,GS,GS,G,BA,OBPct,SlgPct,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO
17,"Belinskas, Delaney",So,UT,18,0,,18,0.000,0.000,0.000,1,7,0,,,0,,,,,,,,1,1,,,,2,,,,
1,"Chimento, Jordan",Sr,C,53,53,53,53,0.187,0.380,0.228,123,23,23,2,0,28,1,,18,21,15,1,8,33,7,1,,,1,1,,34,39
9,"Cook, CC",Fr,SP,48,46,46,48,0.288,0.359,0.396,139,25,40,5,2,55,2,,11,5,25,1,3,39,5,3,2,,2,,,39,22
2,"DiEmmanuele, Lexi",Jr,OF,53,53,53,53,0.254,0.300,0.322,177,36,45,2,5,57,,,12,,15,1,7,24,8,,,,27,6,,70,36
6,"Markopoulos, Olivia",So,2B,42,40,40,42,0.125,0.267,0.139,72,11,9,1,0,10,,,12,2,1,,7,34,8,,,,2,1,,27,6
44,"Martinez, Emme",Fr,C,39,38,38,39,0.299,0.360,0.444,117,9,35,8,0,52,3,,12,2,24,5,2,9,3,4,3,,,,,35,38
13,"Moore, Allyson",Jr,C,48,34,34,48,0.171,0.231,0.198,111,5,19,3,0,22,,,7,2,10,1,1,15,,,,,,,,40,34
3,"Murphy, Annie",Sr,OF,53,53,53,53,0.360,0.433,0.465,172,28,62,11,2,80,1,,20,2,30,,,9,3,1,1,,8,3,,57,36
10,"Randazza, Gianna",Fr,1B,15,6,6,15,0.107,0.235,0.143,28,5,3,1,,4,,,4,1,1,1,4,14,7,,,,1,,,9,6
24,"Sellers, Cami",Fr,INF,52,52,52,52,0.218,0.315,0.354,147,18,32,5,0,52,5,,19,2,22,,6,32,6,1,,,2,1,,42,44
33,"Severini, Carly",Jr,SS,53,49,49,53,0.230,0.301,0.322,152,22,35,4,2,49,2,,17,,20,4,1,23,4,1,1,,2,,,52,39
4,"Sharabba, Chloe",Sr,2B,53,53,53,53,0.331,0.438,0.536,166,38,55,12,2,89,6,,30,3,22,2,2,9,6,2,2,,12,2,,47,53
